nounsAllCount,nounsAllIndex
"('메시지', 397)","('메시지', 557)"
"('십오분', 397)","('십오분', 558)"
"('삼공', 396)","('삼공', 559)"
"('나윤', 395)","('나윤', 560)"
"('일시', 394)","('일시', 561)"
"('현대', 393)","('현대', 562)"
"('케이티', 393)","('케이티', 563)"
"('초과', 392)","('초과', 564)"
"('중간', 392)","('중간', 565)"
"('국제선', 392)","('국제선', 566)"
"('사고', 389)","('사고', 567)"
"('종료', 385)","('종료', 568)"
"('십육일', 385)","('십육일', 569)"
"('십삼일', 385)","('십삼일', 570)"
"('가면', 384)","('가면', 571)"
"('동안', 384)","('동안', 572)"
"('건만', 383)","('건만', 573)"
"('타고', 378)","('타고', 574)"
"('오시', 378)","('오시', 575)"
"('절차', 375)","('절차', 576)"
"('엄마', 375)","('엄마', 577)"
"('골뱅이', 374)","('골뱅이', 578)"
"('임미경', 374)","('임미경', 579)"
"('에스티', 372)","('에스티', 580)"
"('나가시', 371)","('나가시', 581)"
"('김재', 366)","('김재', 582)"
"('일대일', 365)","('일대일', 583)"
"('이십육일', 364)","('이십육일', 584)"
"('대구', 363)","('대구', 585)"
"('참여', 363)","('참여', 586)"
"('시스템', 363)","('시스템', 587)"
"('옛날', 362)","('옛날', 588)"
"('대한항공', 361)","('대한항공', 589)"
"('이십이일', 361)","('이십이일', 590)"
"('마감', 360)","('마감', 591)"
"('삼만', 359)","('삼만', 592)"
"('이월', 359)","('이월', 593)"
"('일요일', 359)","('일요일', 594)"
"('십팔일', 357)","('십팔일', 595)"
"('엠에스', 356)","('엠에스', 596)"
"('정관', 355)","('정관', 597)"
"('단위', 355)","('단위', 598)"
"('신한', 355)","('신한', 599)"
"('블랙', 354)","('블랙', 600)"
"('가장', 349)","('가장', 601)"
"('선정', 348)","('선정', 602)"
"('사공', 348)","('사공', 603)"
"('한시', 347)","('한시', 604)"
"('신용', 347)","('신용', 605)"
"('기프트', 345)","('기프트', 606)"
"('십오일', 345)","('십오일', 607)"
"('설명', 342)","('설명', 608)"
"('중국어', 342)","('중국어', 609)"
"('로만', 341)","('로만', 610)"
"('건강', 338)","('건강', 611)"
"('저번', 336)","('저번', 612)"
"('둘둘', 336)","('둘둘', 613)"
"('나라', 336)","('나라', 614)"
"('김포', 334)","('김포', 615)"
"('루이비통', 333)","('루이비통', 616)"
"('출력', 333)","('출력', 617)"
"('다운로드', 332)","('다운로드', 618)"
"('십칠일', 329)","('십칠일', 619)"
"('무조건', 328)","('무조건', 620)"
"('스마트', 328)","('스마트', 621)"
"('코너', 327)","('코너', 622)"
"('아홉시', 327)","('아홉시', 623)"
"('주입', 325)","('주입', 624)"
"('소지', 324)","('소지', 625)"
"('여행사', 324)","('여행사', 626)"
"('사면', 323)","('사면', 627)"
"('칠칠', 323)","('칠칠', 628)"
"('이틀', 323)","('이틀', 629)"
"('여유', 321)","('여유', 630)"
"('사실', 321)","('사실', 631)"
"('업체', 321)","('업체', 632)"
"('관계', 321)","('관계', 633)"
"('오이', 320)","('오이', 634)"
"('신화', 318)","('신화', 635)"
"('컴퓨터', 316)","('컴퓨터', 636)"
"('십이일', 316)","('십이일', 637)"
"('일치', 316)","('일치', 638)"
