nounsAllCount,nounsAllIndex
{'여섯시': 593},{'여섯시': 416}
{'중이': 592},{'중이': 417}
{'쇼핑': 592},{'쇼핑': 418}
{'공사': 592},{'공사': 419}
{'황소': 592},{'황소': 420}
{'사이': 585},{'사이': 421}
{'오백': 583},{'오백': 422}
{'버튼': 583},{'버튼': 423}
{'전부': 582},{'전부': 424}
{'일육팔팔': 575},{'일육팔팔': 425}
{'칠일': 575},{'칠일': 426}
{'구구': 574},{'구구': 427}
{'배우자': 572},{'배우자': 428}
{'신용카드': 570},{'신용카드': 429}
{'육일': 567},{'육일': 430}
{'이은정': 566},{'이은정': 431}
{'탑승': 563},{'탑승': 432}
{'실제': 556},{'실제': 433}
{'시계': 555},{'시계': 434}
{'시내': 554},{'시내': 435}
{'실적': 548},{'실적': 436}
{'전혀': 539},{'전혀': 437}
{'시도': 539},{'시도': 438}
{'오현정': 537},{'오현정': 439}
{'김하나': 537},{'김하나': 440}
{'엑스': 536},{'엑스': 441}
{'이십일': 536},{'이십일': 442}
{'사십분': 536},{'사십분': 443}
{'다섯': 531},{'다섯': 444}
{'즉시': 530},{'즉시': 445}
{'삼천': 530},{'삼천': 446}
{'라서': 529},{'라서': 447}
{'접속': 529},{'접속': 448}
{'십이': 528},{'십이': 449}
{'시월': 528},{'시월': 450}
{'정말': 528},{'정말': 451}
{'최고은': 527},{'최고은': 452}
{'대로': 526},{'대로': 453}
{'만료': 526},{'만료': 454}
{'이십사': 526},{'이십사': 455}
{'이내': 525},{'이내': 456}
{'국내': 525},{'국내': 457}
{'보관': 523},{'보관': 458}
{'네이버': 523},{'네이버': 459}
{'월요일': 522},{'월요일': 460}
{'김소희': 522},{'김소희': 461}
{'영수증': 521},{'영수증': 462}
{'비밀': 521},{'비밀': 463}
{'위치': 520},{'위치': 464}
{'반영': 518},{'반영': 465}
{'명의': 517},{'명의': 466}
{'다만': 511},{'다만': 467}
{'조건': 509},{'조건': 468}
{'이전': 505},{'이전': 469}
{'그네': 504},{'그네': 470}
{'삼십오분': 504},{'삼십오분': 471}
{'대체': 504},{'대체': 472}
{'만원': 503},{'만원': 473}
{'단계': 503},{'단계': 474}
{'이이': 499},{'이이': 475}
{'개인': 499},{'개인': 476}
{'액체': 499},{'액체': 477}
{'안녕하십니까': 498},{'안녕하십니까': 478}
